7400
[56, 48] [-100, -100]
396 615 1000 1000
396 439 1000 615
0 575 396 1000
0 0 396 575
396 0 1000 439
0 898 1000 1000
0 894 1000 898
0 869 1000 894
0 725 1000 869
0 0 1000 725
0 180 396 344
0 0 396 180
0 344 396 1000
396 590 1000 1000
396 0 1000 590
0 180 396 344
0 0 396 180
0 344 396 1000
396 590 1000 1000
396 0 1000 590
0 0 396 23
0 501 396 1000
0 23 396 501
396 492 1000 1000
396 0 1000 492
0 0 396 23
0 955 396 1000
0 632 396 955
0 23 396 632
396 0 1000 1000
0 0 396 195
396 595 1000 1000
396 323 1000 595
396 0 1000 323
0 195 396 1000
396 682 1000 1000
396 569 1000 682
0 0 396 195
0 195 396 1000
396 0 1000 569
0 0 396 40
0 659 396 1000
0 40 396 282
0 282 396 659
396 0 1000 1000
0 0 396 40
0 659 396 1000
0 40 396 282
0 282 396 659
396 0 1000 1000
0 465 396 656
0 656 396 1000
0 0 396 465
396 409 1000 1000
396 0 1000 409
0 656 396 1000
0 465 396 656
0 0 396 465
396 616 1000 1000
396 0 1000 616
0 958 396 1000
0 379 396 489
0 489 396 958
0 0 396 379
396 0 1000 1000
0 379 396 489
0 0 396 379
0 489 396 1000
396 408 1000 1000
396 0 1000 408
0 743 396 1000
0 0 396 161
396 736 1000 1000
0 161 396 743
396 0 1000 736
0 591 396 1000
0 0 396 161
0 161 396 591
396 484 1000 1000
396 0 1000 484
0 796 396 1000
0 0 396 142
396 579 1000 1000
0 142 396 796
396 0 1000 579
0 424 396 1000
0 0 396 142
0 142 396 424
396 520 1000 1000
396 0 1000 520
0 0 396 38
0 38 396 169
396 643 1000 1000
0 169 396 1000
396 0 1000 643
0 38 396 169
0 0 396 38
396 643 1000 1000
0 169 396 1000
396 0 1000 643
0 0 396 114
396 461 1000 1000
0 484 396 1000
0 114 396 484
396 0 1000 461
0 786 396 1000
0 0 396 114
396 619 1000 1000
0 114 396 786
396 0 1000 619
0 0 396 93
0 656 396 1000
0 93 396 656
396 0 1000 429
396 429 1000 1000
0 656 396 1000
0 0 396 93
0 93 396 656
396 0 1000 429
396 429 1000 1000
0 344 396 463
396 694 1000 1000
0 463 396 1000
0 0 396 344
396 0 1000 694
0 344 396 463
0 0 396 344
0 463 396 1000
396 437 1000 1000
396 0 1000 437
0 0 396 14
0 514 396 1000
0 14 396 514
396 525 1000 1000
396 0 1000 525
0 0 396 14
0 514 396 1000
0 14 396 514
396 525 1000 1000
396 0 1000 525
0 0 396 59
0 59 396 407
0 407 396 1000
396 761 1000 1000
396 0 1000 761
0 0 396 59
0 407 396 1000
0 59 396 407
396 530 1000 1000
396 0 1000 530
0 440 396 1000
0 0 396 144
0 144 396 440
396 500 1000 1000
396 0 1000 500
0 0 396 144
0 440 396 595
0 595 396 1000
0 144 396 440
396 0 1000 1000
0 0 396 61
396 817 1000 1000
396 669 1000 817
0 61 396 1000
396 0 1000 669
0 568 396 1000
0 0 396 61
0 321 396 568
0 61 396 321
396 0 1000 1000
396 811 1000 1000
396 0 1000 115
0 0 396 395
0 395 396 1000
396 115 1000 811
396 0 1000 115
396 811 1000 1000
0 0 396 395
0 395 396 1000
396 115 1000 811
0 431 396 578
0 578 396 758
0 758 396 1000
0 0 396 431
396 0 1000 1000
0 578 396 1000
0 431 396 578
0 0 396 431
396 540 1000 1000
396 0 1000 540
0 0 396 41
0 41 396 91
0 494 396 1000
0 91 396 494
396 0 1000 1000
0 0 396 41
0 41 396 91
396 619 1000 1000
0 91 396 1000
396 0 1000 619
0 0 396 90
0 90 396 307
0 307 396 1000
396 463 1000 1000
396 0 1000 463
0 0 396 90
0 680 396 1000
0 90 396 307
0 307 396 680
396 0 1000 1000
0 0 396 7
0 7 396 102
0 570 396 1000
0 102 396 570
396 0 1000 1000
0 0 396 7
0 961 396 1000
0 7 396 102
0 102 396 961
396 0 1000 1000
0 412 396 534
396 642 1000 1000
0 534 396 1000
0 0 396 412
396 0 1000 642
0 534 396 1000
0 412 396 534
0 0 396 412
396 487 1000 1000
396 0 1000 487
0 932 396 1000
0 809 396 932
0 495 396 809
0 0 396 495
396 0 1000 1000
