4400
4900
4800
[22, 12] [0, 0]
335 0 382 1000
702 303 752 1000
702 0 752 303
237 806 335 1000
0 0 171 123
382 734 490 1000
171 513 237 1000
171 0 237 513
0 656 171 1000
752 0 1000 237
237 0 335 806
382 0 490 734
752 650 1000 1000
0 123 171 656
752 237 1000 650
490 0 702 1000
702 0 752 1000
171 818 237 1000
382 858 490 1000
0 890 171 1000
0 0 171 123
752 889 1000 1000
237 552 335 1000
382 526 490 858
171 0 237 818
237 0 335 552
382 0 490 526
752 0 1000 237
490 660 702 1000
0 123 171 890
490 0 702 660
752 237 1000 889
171 635 237 1000
237 86 335 161
237 0 335 86
382 0 490 142
0 0 171 128
237 677 335 1000
490 858 702 1000
490 234 702 413
382 632 490 1000
171 0 237 635
490 0 702 234
237 161 335 677
382 142 490 632
490 413 702 858
0 128 171 1000
752 0 1000 1000
237 86 335 161
237 0 335 86
382 0 490 142
382 774 490 1000
0 0 171 128
335 0 382 1000
702 0 752 1000
490 234 702 413
171 0 237 1000
490 0 702 234
0 639 171 1000
237 161 335 1000
382 142 490 774
0 128 171 639
490 413 702 1000
752 0 1000 1000
171 0 237 72
171 592 237 1000
237 747 335 1000
335 0 382 1000
382 700 490 1000
702 0 752 1000
171 72 237 592
237 376 335 747
237 0 335 376
0 642 171 1000
490 674 702 1000
382 0 490 700
752 645 1000 1000
0 0 171 642
490 0 702 674
752 0 1000 645
171 892 237 1000
171 0 237 72
335 0 382 1000
0 904 171 1000
237 595 335 1000
382 600 490 1000
702 0 752 1000
171 72 237 892
237 0 335 595
382 0 490 600
0 466 171 904
0 0 171 466
490 509 702 1000
490 0 702 509
752 538 1000 1000
752 0 1000 538
335 363 382 1000
702 0 752 49
702 843 752 1000
237 860 335 1000
335 0 382 363
237 655 335 860
382 654 490 1000
752 853 1000 1000
702 49 752 843
490 0 702 193
171 0 237 1000
237 0 335 655
382 0 490 654
0 0 171 1000
490 193 702 1000
752 0 1000 853
702 0 752 49
702 249 752 1000
237 915 335 1000
702 49 752 249
237 776 335 915
382 809 490 1000
752 858 1000 1000
490 819 702 1000
490 0 702 193
0 750 171 1000
171 0 237 1000
237 0 335 776
382 0 490 809
0 0 171 750
490 193 702 819
752 0 1000 858
237 941 335 1000
0 873 171 1000
702 0 752 1000
171 488 237 1000
171 0 237 488
237 582 335 941
382 545 490 1000
752 777 1000 1000
237 0 335 582
382 0 490 545
0 505 171 873
752 0 1000 294
0 0 171 505
490 480 702 1000
490 0 702 480
752 294 1000 777
335 0 382 1000
702 716 752 1000
702 560 752 716
702 288 752 560
702 0 752 288
0 869 171 1000
171 525 237 1000
171 0 237 525
237 597 335 1000
490 735 702 1000
237 0 335 597
752 0 1000 294
382 0 490 1000
0 0 171 869
490 0 702 735
752 294 1000 1000
237 0 335 85
171 694 237 1000
237 806 335 1000
171 375 237 694
171 0 237 375
0 0 171 182
382 699 490 1000
490 0 702 183
752 808 1000 1000
0 688 171 1000
490 677 702 1000
237 85 335 806
382 0 490 699
0 182 171 688
490 183 702 677
752 0 1000 808
237 0 335 85
702 701 752 1000
237 821 335 1000
382 768 490 1000
335 0 382 1000
0 0 171 182
702 0 752 701
490 0 702 183
752 825 1000 1000
0 670 171 1000
171 0 237 1000
237 85 335 821
382 0 490 768
0 182 171 670
490 183 702 1000
752 0 1000 825
171 852 237 1000
237 818 335 1000
237 650 335 818
0 0 171 131
0 131 171 299
382 675 490 1000
490 0 702 178
335 0 382 1000
702 0 752 1000
171 0 237 852
237 0 335 650
752 727 1000 1000
382 0 490 675
0 299 171 1000
490 178 702 1000
752 0 1000 727
335 0 382 1000
171 623 237 1000
490 828 702 1000
0 0 171 131
0 817 171 1000
0 131 171 299
237 608 335 1000
490 0 702 178
171 0 237 623
382 559 490 1000
752 771 1000 1000
237 0 335 608
382 0 490 559
0 299 171 817
490 178 702 828
752 0 1000 771
335 539 382 1000
702 861 752 1000
237 0 335 80
702 549 752 861
171 635 237 1000
335 0 382 539
702 0 752 549
752 856 1000 1000
171 0 237 635
0 688 171 1000
752 0 1000 295
237 80 335 1000
382 0 490 1000
0 0 171 688
752 295 1000 856
490 0 702 1000
171 755 237 1000
237 0 335 80
382 819 490 1000
237 782 335 1000
490 871 702 1000
335 0 382 1000
702 0 752 1000
171 0 237 755
0 618 171 1000
752 724 1000 1000
237 80 335 782
752 0 1000 295
382 0 490 819
0 0 171 618
752 295 1000 724
490 0 702 871
702 0 752 61
382 923 490 1000
702 252 752 1000
702 61 752 252
752 929 1000 1000
0 903 171 1000
0 783 171 903
0 640 171 783
490 738 702 1000
171 0 237 1000
752 644 1000 929
237 0 335 1000
382 0 490 923
0 0 171 640
490 0 702 738
752 0 1000 644
335 964 382 1000
702 0 752 61
171 773 237 1000
335 602 382 964
382 795 490 1000
335 0 382 602
702 61 752 1000
171 0 237 773
0 588 171 1000
752 666 1000 1000
237 0 335 1000
382 0 490 795
490 571 702 1000
0 0 171 588
490 0 702 571
752 0 1000 666
702 934 752 1000
702 874 752 934
171 0 237 70
490 916 702 1000
490 849 702 916
335 0 382 1000
702 0 752 874
237 535 335 1000
171 70 237 1000
0 702 171 1000
237 0 335 535
490 567 702 849
382 0 490 1000
0 0 171 702
490 0 702 567
752 0 1000 1000
335 301 382 1000
702 910 752 1000
702 819 752 910
171 0 237 70
335 0 382 301
702 473 752 819
171 662 237 1000
702 0 752 473
171 70 237 662
752 812 1000 1000
0 571 171 1000
237 0 335 1000
382 0 490 1000
0 0 171 571
490 0 702 1000
752 0 1000 812
702 230 752 1000
237 911 335 1000
702 0 752 230
171 715 237 1000
382 824 490 1000
171 393 237 715
171 0 237 393
237 523 335 911
490 762 702 1000
237 0 335 523
752 754 1000 1000
0 526 171 1000
382 0 490 824
0 0 171 526
490 0 702 762
752 0 1000 754
