1400
1600
[1, 6] [-100, -100]
579 973 804 1000
353 972 579 1000
804 940 1000 1000
0 940 353 1000
579 889 804 973
804 835 1000 940
804 727 1000 835
804 587 1000 727
804 405 1000 587
804 213 1000 405
804 0 1000 213
579 603 804 889
579 308 804 603
579 0 804 308
353 510 579 972
353 0 579 510
0 589 353 940
0 0 353 589
579 960 804 1000
353 895 579 1000
804 892 1000 1000
353 795 579 895
579 859 804 960
804 762 1000 892
804 612 1000 762
804 434 1000 612
804 238 1000 434
804 0 1000 238
579 601 804 859
579 328 804 601
579 0 804 328
353 447 579 795
0 745 353 1000
353 0 579 447
0 375 353 745
0 0 353 375
579 990 804 1000
0 975 353 1000
579 965 804 990
0 947 353 975
0 916 353 947
804 908 1000 1000
804 794 1000 908
804 644 1000 794
804 489 1000 644
804 291 1000 489
804 0 1000 291
579 705 804 965
579 354 804 705
579 0 804 354
353 621 579 1000
353 0 579 621
0 462 353 916
0 0 353 462
579 992 804 1000
804 968 1000 1000
579 963 804 992
353 938 579 1000
579 877 804 963
804 864 1000 968
804 753 1000 864
804 636 1000 753
804 508 1000 636
804 353 1000 508
804 180 1000 353
804 0 1000 180
579 627 804 877
579 367 804 627
579 0 804 367
0 726 353 1000
353 0 579 938
0 0 353 726
0 998 1000 1000
0 993 1000 998
0 987 1000 993
0 970 1000 987
0 952 1000 970
0 934 1000 952
0 914 1000 934
0 893 1000 914
0 869 1000 893
0 843 1000 869
0 802 1000 843
0 757 1000 802
0 690 1000 757
0 599 1000 690
0 493 1000 599
0 371 1000 493
0 245 1000 371
0 0 1000 245
0 996 1000 1000
0 990 1000 996
0 982 1000 990
0 965 1000 982
0 940 1000 965
0 909 1000 940
0 871 1000 909
0 827 1000 871
0 780 1000 827
0 727 1000 780
0 669 1000 727
0 609 1000 669
0 538 1000 609
0 462 1000 538
0 384 1000 462
0 287 1000 384
0 190 1000 287
0 0 1000 190
0 981 353 1000
353 954 579 1000
579 937 804 1000
353 846 579 954
804 847 1000 1000
579 796 804 937
804 680 1000 847
804 470 1000 680
804 246 1000 470
804 0 1000 246
579 551 804 796
579 279 804 551
579 0 804 279
353 515 579 846
0 741 353 981
353 0 579 515
0 410 353 741
0 0 353 410
804 998 1000 1000
579 984 804 1000
804 977 1000 998
