7300
10200
[54, 48] [0, 14]
827 0 1000 113
827 431 1000 1000
827 113 1000 431
0 855 827 1000
0 677 827 855
0 396 827 677
0 0 827 396
827 431 1000 567
827 0 1000 113
827 567 1000 1000
827 113 1000 431
0 656 827 1000
0 340 827 656
0 0 827 340
827 0 1000 3
827 910 1000 1000
827 3 1000 84
0 903 827 1000
827 84 1000 910
0 0 827 305
0 305 827 903
827 0 1000 3
827 910 1000 1000
827 3 1000 84
0 903 827 1000
827 84 1000 910
0 0 827 305
0 305 827 903
827 0 1000 153
0 522 827 582
0 435 827 522
0 847 827 1000
827 153 1000 1000
0 582 827 847
0 0 827 435
827 920 1000 1000
0 522 827 582
827 0 1000 153
0 435 827 522
827 153 1000 920
0 582 827 1000
0 0 827 435
827 797 1000 1000
827 653 1000 797
827 0 1000 653
0 820 827 1000
0 634 827 820
0 0 827 271
0 271 827 634
0 863 827 1000
827 653 1000 1000
0 755 827 863
0 634 827 755
827 0 1000 653
0 0 827 271
0 271 827 634
827 0 1000 30
827 889 1000 1000
827 612 1000 889
0 0 827 139
827 30 1000 612
0 139 827 499
0 499 827 1000
827 0 1000 30
827 612 1000 1000
827 30 1000 612
0 0 827 139
0 751 827 1000
0 499 827 751
0 139 827 499
0 952 827 1000
827 0 1000 372
827 372 1000 1000
0 766 827 952
0 534 827 766
0 0 827 258
0 258 827 534
0 918 827 1000
827 691 1000 1000
827 372 1000 691
827 0 1000 372
0 0 827 258
0 258 827 534
0 534 827 918
827 0 1000 97
0 916 827 1000
827 462 1000 1000
827 97 1000 462
0 783 827 916
0 0 827 252
0 252 827 783
827 462 1000 1000
827 0 1000 97
827 97 1000 462
0 879 827 1000
0 0 827 252
0 568 827 879
0 252 827 568
0 898 827 1000
0 776 827 898
0 630 827 776
827 0 1000 1000
0 442 827 630
0 229 827 442
0 0 827 229
0 890 827 1000
0 854 827 890
0 809 827 854
827 630 1000 1000
827 0 1000 630
0 498 827 809
0 0 827 498
827 0 1000 359
827 359 1000 1000
0 0 827 149
0 832 827 1000
0 657 827 832
0 149 827 338
0 338 827 657
827 0 1000 359
0 783 827 1000
827 359 1000 1000
0 0 827 149
0 149 827 338
0 593 827 783
0 338 827 593
827 361 1000 502
827 0 1000 361
827 502 1000 1000
0 759 827 1000
0 0 827 192
0 509 827 759
0 192 827 509
827 361 1000 502
827 502 1000 1000
827 0 1000 361
0 0 827 192
0 759 827 1000
0 509 827 759
0 192 827 509
827 734 1000 1000
827 553 1000 734
0 0 827 124
827 0 1000 553
0 725 827 1000
0 450 827 725
0 124 827 450
827 734 1000 1000
827 553 1000 734
827 0 1000 553
0 0 827 124
0 780 827 1000
0 592 827 780
0 124 827 592
827 138 1000 163
0 915 827 1000
827 0 1000 138
0 761 827 915
827 163 1000 1000
0 0 827 270
0 270 827 761
827 138 1000 163
827 0 1000 138
827 510 1000 1000
827 163 1000 510
0 0 827 270
0 654 827 1000
0 270 827 654
827 870 1000 1000
827 563 1000 870
0 912 827 1000
0 0 827 118
827 0 1000 563
0 118 827 312
0 312 827 912
827 563 1000 1000
827 0 1000 563
0 0 827 118
0 836 827 1000
0 118 827 312
0 591 827 836
0 312 827 591
827 775 1000 1000
827 727 1000 775
0 880 827 1000
0 757 827 880
827 0 1000 727
0 576 827 757
0 0 827 576
0 910 827 1000
827 604 1000 1000
0 810 827 910
827 0 1000 604
0 546 827 810
0 275 827 546
0 0 827 275
827 181 1000 273
827 0 1000 181
0 365 827 456
0 840 827 1000
827 273 1000 1000
0 0 827 365
0 456 827 840
827 181 1000 273
827 0 1000 181
0 365 827 456
827 273 1000 1000
0 744 827 1000
0 456 827 744
0 0 827 365
0 920 827 1000
827 0 1000 394
827 394 1000 1000
0 760 827 920
0 567 827 760
0 372 827 567
0 0 827 372
0 955 827 1000
827 872 1000 1000
827 774 1000 872
827 670 1000 774
827 394 1000 670
827 0 1000 394
0 0 827 955
