(1, [1, 0, 0, 0, 0])
(2, [2, 0, 0, 0, 0])
(3, [3, 0, 0, 0, 0])
(4, [4, 0, 0, 0, 0])
(5, [0, 1, 0, 0, 0])
(6, [1, 1, 0, 0, 0])
(7, [2, 1, 0, 0, 0])
(8, [3, 1, 0, 0, 0])
(9, [4, 1, 0, 0, 0])
(10, [0, 2, 0, 0, 0])
(11, [1, 2, 0, 0, 0])
(12, [2, 2, 0, 0, 0])
(13, [3, 2, 0, 0, 0])
(14, [4, 2, 0, 0, 0])
(15, [0, 3, 0, 0, 0])
(16, [1, 3, 0, 0, 0])
(17, [2, 3, 0, 0, 0])
(18, [3, 3, 0, 0, 0])
(19, [4, 3, 0, 0, 0])
(20, [0, 4, 0, 0, 0])
(21, [1, 4, 0, 0, 0])
(22, [2, 4, 0, 0, 0])
(23, [3, 4, 0, 0, 0])
(24, [4, 4, 0, 0, 0])
(25, [0, 0, 1, 0, 0])
(26, [1, 0, 1, 0, 0])
(27, [2, 0, 1, 0, 0])
(28, [3, 0, 1, 0, 0])
(29, [4, 0, 1, 0, 0])
(30, [0, 1, 1, 0, 0])
(31, [1, 1, 1, 0, 0])
(32, [2, 1, 1, 0, 0])
(33, [3, 1, 1, 0, 0])
(34, [4, 1, 1, 0, 0])
(35, [0, 2, 1, 0, 0])
(36, [1, 2, 1, 0, 0])
(37, [2, 2, 1, 0, 0])
(38, [3, 2, 1, 0, 0])
(39, [4, 2, 1, 0, 0])
(40, [0, 3, 1, 0, 0])
(41, [1, 3, 1, 0, 0])
(42, [2, 3, 1, 0, 0])
(43, [3, 3, 1, 0, 0])
(44, [4, 3, 1, 0, 0])
(45, [0, 4, 1, 0, 0])
(46, [1, 4, 1, 0, 0])
(47, [2, 4, 1, 0, 0])
(48, [3, 4, 1, 0, 0])
(49, [4, 4, 1, 0, 0])
(50, [0, 0, 2, 0, 0])
(51, [1, 0, 2, 0, 0])
(52, [2, 0, 2, 0, 0])
(53, [3, 0, 2, 0, 0])
(54, [4, 0, 2, 0, 0])
(55, [0, 1, 2, 0, 0])
(56, [1, 1, 2, 0, 0])
(57, [2, 1, 2, 0, 0])
(58, [3, 1, 2, 0, 0])
(59, [4, 1, 2, 0, 0])
(60, [0, 2, 2, 0, 0])
(61, [1, 2, 2, 0, 0])
(62, [2, 2, 2, 0, 0])
(63, [3, 2, 2, 0, 0])
(64, [4, 2, 2, 0, 0])
(65, [0, 3, 2, 0, 0])
(66, [1, 3, 2, 0, 0])
(67, [2, 3, 2, 0, 0])
(68, [3, 3, 2, 0, 0])
(69, [4, 3, 2, 0, 0])
(70, [0, 4, 2, 0, 0])
(71, [1, 4, 2, 0, 0])
(72, [2, 4, 2, 0, 0])
(73, [3, 4, 2, 0, 0])
(74, [4, 4, 2, 0, 0])
(75, [0, 0, 3, 0, 0])
(76, [1, 0, 3, 0, 0])
(77, [2, 0, 3, 0, 0])
(78, [3, 0, 3, 0, 0])
(79, [4, 0, 3, 0, 0])
(80, [0, 1, 3, 0, 0])
(81, [1, 1, 3, 0, 0])
(82, [2, 1, 3, 0, 0])
(83, [3, 1, 3, 0, 0])
(84, [4, 1, 3, 0, 0])
(85, [0, 2, 3, 0, 0])
(86, [1, 2, 3, 0, 0])
(87, [2, 2, 3, 0, 0])
(88, [3, 2, 3, 0, 0])
(89, [4, 2, 3, 0, 0])
(90, [0, 3, 3, 0, 0])
(91, [1, 3, 3, 0, 0])
(92, [2, 3, 3, 0, 0])
(93, [3, 3, 3, 0, 0])
(94, [4, 3, 3, 0, 0])
(95, [0, 4, 3, 0, 0])
(96, [1, 4, 3, 0, 0])
(97, [2, 4, 3, 0, 0])
(98, [3, 4, 3, 0, 0])
(99, [4, 4, 3, 0, 0])
(100, [0, 0, 4, 0, 0])
(101, [1, 0, 4, 0, 0])
(102, [2, 0, 4, 0, 0])
(103, [3, 0, 4, 0, 0])
(104, [4, 0, 4, 0, 0])
(105, [0, 1, 4, 0, 0])
(106, [1, 1, 4, 0, 0])
(107, [2, 1, 4, 0, 0])
(108, [3, 1, 4, 0, 0])
(109, [4, 1, 4, 0, 0])
(110, [0, 2, 4, 0, 0])
(111, [1, 2, 4, 0, 0])
(112, [2, 2, 4, 0, 0])
(113, [3, 2, 4, 0, 0])
(114, [4, 2, 4, 0, 0])
(115, [0, 3, 4, 0, 0])
(116, [1, 3, 4, 0, 0])
(117, [2, 3, 4, 0, 0])
(118, [3, 3, 4, 0, 0])
(119, [4, 3, 4, 0, 0])
(120, [0, 4, 4, 0, 0])
(121, [1, 4, 4, 0, 0])
(122, [2, 4, 4, 0, 0])
(123, [3, 4, 4, 0, 0])
(124, [4, 4, 4, 0, 0])
(125, [0, 0, 0, 1, 0])
(126, [1, 0, 0, 1, 0])
(127, [2, 0, 0, 1, 0])
(128, [3, 0, 0, 1, 0])
(129, [4, 0, 0, 1, 0])
(130, [0, 1, 0, 1, 0])
(131, [1, 1, 0, 1, 0])
(132, [2, 1, 0, 1, 0])
(133, [3, 1, 0, 1, 0])
(134, [4, 1, 0, 1, 0])
(135, [0, 2, 0, 1, 0])
(136, [1, 2, 0, 1, 0])
(137, [2, 2, 0, 1, 0])
(138, [3, 2, 0, 1, 0])
(139, [4, 2, 0, 1, 0])
(140, [0, 3, 0, 1, 0])
(141, [1, 3, 0, 1, 0])
(142, [2, 3, 0, 1, 0])
(143, [3, 3, 0, 1, 0])
(144, [4, 3, 0, 1, 0])
(145, [0, 4, 0, 1, 0])
(146, [1, 4, 0, 1, 0])
(147, [2, 4, 0, 1, 0])
