0 20 40
2 21 40
2 22 40
2 23 40
2 24 40
2 25 40
2 26 40
2 27 40
2 28 40
2 29 40
2 30 40
2 31 40
2 32 40
2 33 40
4 34 40
6 34 39
2 35 39
0 36 39
1 36 38
6 36 37
2 37 37
2 38 37
2 39 37
2 40 37
0 41 37
1 20 39
1 20 38
1 20 37
1 20 36
1 20 35
1 20 34
1 20 33
1 20 32
1 20 31
1 20 30
1 20 29
5 20 28
2 19 28
3 18 28
1 18 27
1 18 26
1 18 25
1 18 24
1 18 23
1 18 22
1 18 21
1 18 20
5 18 19
3 17 19
1 17 18
1 17 17
1 17 16
1 17 15
1 17 14
0 17 13
2 16 13
2 15 13
2 14 13
2 13 13
2 12 13
2 11 13
2 10 13
2 9 13
2 8 13
2 7 13
2 6 13
-1
-1
-1
0 5 13
5 17 12
3 16 12
1 16 11
5 16 10
2 15 10
3 14 10
1 14 9
1 14 8
1 14 7
-1
0 14 6
1 41 38
1 41 39
1 41 40
1 41 41
1 41 42
-1
-1
0 41 43
2 42 43
4 43 43
1 43 42
6 43 41
2 44 41
2 45 41
0 46 41
1 5 12
1 5 11
1 5 10
5 5 9
0 4 9
1 5 14
1 5 15
0 5 16
6 13 6
1 13 7
1 13 8
1 13 9
4 13 10
0 12 10
0 17 16
2 42 37
2 43 37
0 44 37
2 4 16
2 3 16
2 2 16
0 1 16
1 44 36
1 44 35
1 44 34
0 44 33
0 36 37
2 19 40
2 18 40
2 17 40
0 16 40
1 41 44
1 41 45
0 41 46
2 6 16
0 7 16
3 7 17
2 8 17
2 9 17
0 10 17
0 10 18
0 26 40
0 34 40
0 41 38
0 11 10
2 43 33
0 42 33
2 18 16
2 19 16
2 20 16
0 21 16
0 15 10
0 36 36
2 22 16
2 23 16
0 24 16
1 24 15
0 24 14
0 17 40
0 20 30
0 22 40
0 3 9
0 20 37
1 14 5
5 14 4
2 13 4
0 12 4
2 11 4
2 10 4
2 9 4
0 8 4
0 45 37
0 14 4
3 36 40
2 37 40
0 38 40
0 20 35
0 8 3
0 18 24
1 1 17
0 1 18
1 8 2
0 8 1
0 31 40
2 7 1
0 6 1
0 43 42
1 42 32
1 42 31
0 42 30
1 20 41
0 20 42
2 40 46
0 39 46
0 15 13
2 41 33
2 40 33
0 39 33
1 20 43
1 20 44
4 20 45
0 19 45
0 24 13
1 16 41
1 16 42
0 16 43
4 18 13
0 18 12
0 25 40
2 15 43
2 14 43
0 13 43
1 13 44
1 13 45
0 13 46
0 13 47
2 12 47
2 11 47
2 10 47
2 9 47
2 8 47
2 7 47
2 6 47
6 5 47
4 5 48
0 4 48
1 24 12
1 24 11
0 24 10
2 3 48
0 2 48
0 23 10
0 6 47
1 42 29
1 42 28
0 42 27
1 46 42
1 46 43
0 46 44
1 38 41
0 38 42
1 42 26
1 42 25
1 42 24
6 42 23
0 43 23
1 16 39
1 16 38
5 16 37
0 15 37
1 2 47
1 2 46
1 2 45
0 2 44
5 43 22
2 42 22
2 41 22
2 40 22
0 39 22
2 25 14
2 26 14
2 27 14
2 28 14
0 29 14
0 29 15
1 29 13
1 29 12
6 29 11
0 30 11
0 2 46
0 14 37
1 10 16
1 10 15
0 10 14
2 13 37
2 12 37
2 11 37
2 10 37
0 9 37
1 9 36
1 9 35
0 9 34
0 8 34
0 29 40
0 20 44
0 10 10
0 20 28
1 30 10
1 30 9
0 30 8
0 8 37
2 29 8
0 28 8
1 28 7
0 28 6
0 21 44
1 28 5
6 28 4
0 29 4
6 29 3
2 30 3
0 31 3
6 31 2
2 32 2
2 33 2
2 34 2
0 35 2
2 36 2
0 37 2
2 38 2
