1100
1300
1400
[1, 0] [-100, -100]
434 994 650 1000
818 991 1000 1000
434 977 650 994
434 959 650 977
260 977 434 1000
434 938 650 959
818 966 1000 991
818 940 1000 966
818 910 1000 940
650 959 818 1000
0 954 140 1000
650 917 818 959
140 935 260 1000
0 895 140 954
140 844 260 935
140 732 260 844
140 605 260 732
140 477 260 605
140 329 260 477
140 179 260 329
140 0 260 179
0 740 140 895
0 573 140 740
0 398 140 573
0 211 140 398
0 0 140 211
260 798 434 977
650 696 818 917
650 471 818 696
650 237 818 471
650 0 818 237
260 556 434 798
260 303 434 556
260 0 434 303
818 485 1000 910
818 0 1000 485
434 521 650 938
434 0 650 521
0 990 140 1000
260 989 434 1000
434 982 650 1000
434 965 650 982
434 947 650 965
434 926 650 947
650 972 818 1000
434 904 650 926
818 971 1000 1000
818 938 1000 971
140 949 260 1000
818 902 1000 938
0 935 140 990
818 847 1000 902
650 912 818 972
650 845 818 912
140 848 260 949
140 740 260 848
140 622 260 740
140 482 260 622
140 330 260 482
140 166 260 330
140 0 260 166
0 791 140 935
0 634 140 791
0 428 140 634
0 216 140 428
0 0 140 216
650 662 818 845
260 809 434 989
650 459 818 662
260 569 434 809
818 600 1000 847
434 664 650 904
650 0 818 459
260 0 434 569
818 0 1000 600
434 0 650 664
0 999 140 1000
140 999 260 1000
140 998 260 999
818 991 1000 1000
434 982 650 1000
260 980 434 1000
650 976 818 1000
818 967 1000 991
140 961 260 998
260 947 434 980
260 906 434 947
260 860 434 906
650 919 818 976
0 926 140 999
140 874 260 961
140 785 260 874
140 696 260 785
140 601 260 696
140 503 260 601
140 395 260 503
140 273 260 395
140 151 260 273
140 0 260 151
0 795 140 926
0 613 140 795
0 426 140 613
0 229 140 426
0 0 140 229
650 715 818 919
650 510 818 715
650 298 818 510
650 0 818 298
260 503 434 860
434 666 650 982
818 535 1000 967
260 0 434 503
818 0 1000 535
434 0 650 666
434 995 650 1000
434 989 650 995
260 984 434 1000
818 978 1000 1000
434 969 650 989
434 949 650 969
818 950 1000 978
260 951 434 984
140 943 260 1000
650 956 818 1000
140 880 260 943
140 805 260 880
140 724 260 805
140 642 260 724
140 550 260 642
140 451 260 550
140 331 260 451
0 867 140 1000
140 170 260 331
140 0 260 170
650 826 818 956
0 657 140 867
0 446 140 657
0 224 140 446
0 0 140 224
650 634 818 826
650 430 818 634
650 221 818 430
650 0 818 221
260 724 434 951
260 490 434 724
260 251 434 490
260 0 434 251
818 644 1000 950
818 331 1000 644
818 0 1000 331
434 533 650 949
434 0 650 533
818 999 1000 1000
434 998 650 1000
434 993 650 998
0 991 140 1000
434 986 650 993
434 976 650 986
434 966 650 976
140 975 260 1000
650 980 818 1000
434 938 650 966
434 908 650 938
260 956 434 1000
434 869 650 908
650 916 818 980
140 874 260 975
140 770 260 874
140 658 260 770
140 537 260 658
0 868 140 991
140 382 260 537
140 201 260 382
140 0 260 201
0 665 140 868
0 455 140 665
0 240 140 455
0 0 140 240
650 701 818 916
650 481 818 701
650 244 818 481
650 0 818 244
260 690 434 956
818 733 1000 999
260 356 434 690
260 0 434 356
818 381 1000 733
818 0 1000 381
434 450 650 869
434 0 650 450
650 998 818 1000
260 988 434 1000
434 984 650 1000
140 968 260 1000
434 965 650 984
434 942 650 965
818 971 1000 1000
0 961 140 1000
434 914 650 942
434 886 650 914
434 855 650 886
0 907 140 961
140 902 260 968
140 832 260 902
140 746 260 832
140 659 260 746
140 544 260 659
140 429 260 544
140 291 260 429
140 152 260 291
140 0 260 152
0 747 140 907
0 586 140 747
650 855 818 998
0 410 140 586
0 206 140 410
0 0 140 206
650 679 818 855
818 741 1000 971
260 713 434 988
650 344 818 679
650 0 818 344
260 358 434 713
260 0 434 358
818 397 1000 741
818 0 1000 397
434 502 650 855
434 0 650 502
140 999 260 1000
140 993 260 999
260 992 434 1000
650 991 818 1000
0 983 140 1000
260 975 434 992
260 956 434 975
140 961 260 993
818 947 1000 1000
818 897 1000 947
140 881 260 961
140 796 260 881
140 705 260 796
140 611 260 705
140 491 260 611
140 357 260 491
0 862 140 983
140 186 260 357
140 0 260 186
0 702 140 862
0 538 140 702
0 365 140 538
0 185 140 365
0 0 140 185
260 807 434 956
434 827 650 1000
650 756 818 991
650 519 818 756
650 269 818 519
650 0 818 269
260 545 434 807
260 275 434 545
260 0 434 275
818 633 1000 897
818 352 1000 633
818 0 1000 352
434 415 650 827
434 0 650 415
650 995 818 1000
650 990 818 995
140 992 260 1000
650 978 818 990
140 968 260 992
0 968 140 1000
650 947 818 978
650 914 818 947
650 878 818 914
140 916 260 968
140 860 260 916
140 794 260 860
140 716 260 794
140 633 260 716
140 530 260 633
140 417 260 530
140 300 260 417
140 160 260 300
140 0 260 160
0 808 140 968
0 627 140 808
0 437 140 627
260 838 434 1000
0 221 140 437
0 0 140 221
650 671 818 878
650 459 818 671
650 233 818 459
650 0 818 233
434 815 650 1000
260 607 434 838
818 770 1000 1000
260 313 434 607
260 0 434 313
818 400 1000 770
818 0 1000 400
434 434 650 815
434 0 650 434
0 999 140 1000
140 998 260 1000
818 995 1000 1000
260 993 434 1000
650 992 818 1000
818 986 1000 995
818 977 1000 986
818 967 1000 977
260 982 434 993
0 985 140 999
0 969 140 985
818 942 1000 967
0 936 140 969
140 947 260 998
140 890 260 947
140 823 260 890
140 754 260 823
140 676 260 754
140 585 260 676
140 473 260 585
140 331 260 473
140 179 260 331
140 0 260 179
260 841 434 982
650 839 818 992
0 711 140 936
0 479 140 711
0 242 140 479
0 0 140 242
434 809 650 1000
650 568 818 839
650 291 818 568
650 0 818 291
260 539 434 841
818 606 1000 942
260 0 434 539
818 0 1000 606
434 0 650 809
0 989 140 1000
818 986 1000 1000
140 981 260 1000
434 973 650 1000
650 967 818 1000
260 953 434 1000
650 924 818 967
650 877 818 924
650 830 818 877
650 782 818 830
650 729 818 782
140 899 260 981
140 815 260 899
140 726 260 815
140 626 260 726
140 517 260 626
140 401 260 517
140 272 260 401
140 137 260 272
140 0 260 137
0 865 140 989
0 735 140 865
0 600 140 735
0 460 140 600
0 313 140 460
0 158 140 313
0 0 140 158
650 575 818 729
818 758 1000 986
650 309 818 575
650 0 818 309
260 653 434 953
260 333 434 653
260 0 434 333
818 429 1000 758
818 0 1000 429
434 593 650 973
434 0 650 593
818 997 1000 1000
434 992 650 1000
260 990 434 1000
818 984 1000 997
0 982 140 1000
434 972 650 992
434 944 650 972
818 951 1000 984
818 911 1000 951
260 947 434 990
260 898 434 947
650 936 818 1000
0 891 140 982
140 884 260 1000
140 769 260 884
140 629 260 769
140 487 260 629
140 342 260 487
140 178 260 342
140 0 260 178
0 733 140 891
0 565 140 733
0 392 140 565
0 201 140 392
0 0 140 201
650 765 818 936
650 592 818 765
650 399 818 592
650 201 818 399
650 0 818 201
260 695 434 898
260 486 434 695
260 258 434 486
260 0 434 258
434 735 650 944
818 563 1000 911
818 0 1000 563
434 0 650 735
0 999 140 1000
260 992 434 1000
0 992 140 999
650 991 818 1000
140 988 260 1000
260 980 434 992
260 959 434 980
260 936 434 959
260 899 434 936
0 945 140 992
650 943 818 991
0 886 140 945
140 884 260 988
140 764 260 884
140 637 260 764
140 497 260 637
140 346 260 497
140 178 260 346
140 0 260 178
0 711 140 886
0 534 140 711
0 356 140 534
0 178 140 356
0 0 140 178
650 776 818 943
650 597 818 776
650 412 818 597
650 208 818 412
650 0 818 208
434 827 650 1000
818 751 1000 1000
260 633 434 899
260 344 434 633
260 0 434 344
818 407 1000 751
818 0 1000 407
434 459 650 827
434 0 650 459
434 993 650 1000
434 978 650 993
140 960 260 1000
434 944 650 978
434 905 650 944
650 946 818 1000
650 892 818 946
140 874 260 960
140 775 260 874
140 668 260 775
140 554 260 668
140 433 260 554
140 303 260 433
140 169 260 303
0 877 140 1000
140 0 260 169
260 866 434 1000
0 707 140 877
0 537 140 707
0 364 140 537
0 186 140 364
0 0 140 186
650 728 818 892
650 563 818 728
650 381 818 563
818 828 1000 1000
650 194 818 381
650 0 818 194
260 672 434 866
260 462 434 672
260 232 434 462
260 0 434 232
818 566 1000 828
818 300 1000 566
818 0 1000 300
434 650 650 905
434 340 650 650
434 0 650 340
434 993 650 1000
260 993 434 1000
818 977 1000 1000
0 973 140 1000
434 968 650 993
650 963 818 1000
434 937 650 968
434 898 650 937
140 921 260 1000
434 846 650 898
650 881 818 963
0 874 140 973
140 803 260 921
140 677 260 803
140 527 260 677
140 358 260 527
140 179 260 358
140 0 260 179
0 717 140 874
0 559 140 717
0 400 140 559
0 208 140 400
0 0 140 208
650 701 818 881
818 796 1000 977
650 472 818 701
650 238 818 472
650 0 818 238
260 761 434 993
260 515 434 761
260 261 434 515
260 0 434 261
818 543 1000 796
818 275 1000 543
818 0 1000 275
434 604 650 846
434 331 650 604
434 0 650 331
0 996 140 1000
650 994 818 1000
434 993 650 1000
260 990 434 1000
818 989 1000 1000
818 965 1000 989
0 964 140 996
140 939 260 1000
260 944 434 990
650 946 818 994
650 894 818 946
0 894 140 964
140 840 260 939
140 735 260 840
140 626 260 735
140 516 260 626
140 406 260 516
140 286 260 406
140 153 260 286
140 0 260 153
0 756 140 894
0 609 140 756
0 440 140 609
0 250 140 440
0 0 140 250
650 685 818 894
650 467 818 685
650 236 818 467
650 0 818 236
260 711 434 944
260 478 434 711
260 239 434 478
260 0 434 239
818 675 1000 965
818 339 1000 675
818 0 1000 339
434 668 650 993
434 0 650 668
650 994 818 1000
260 990 434 1000
260 980 434 990
140 970 260 1000
434 977 650 1000
0 968 140 1000
818 965 1000 1000
434 947 650 977
434 916 650 947
260 941 434 980
260 902 434 941
650 952 818 994
140 909 260 970
140 846 260 909
140 776 260 846
140 701 260 776
140 623 260 701
140 543 260 623
140 462 260 543
140 376 260 462
140 287 260 376
140 165 260 287
140 0 260 165
0 817 140 968
0 630 140 817
0 434 140 630
0 229 140 434
0 0 140 229
650 754 818 952
650 531 818 754
650 306 818 531
650 0 818 306
260 587 434 902
818 603 1000 965
434 606 650 916
260 0 434 587
818 0 1000 603
434 0 650 606
818 996 1000 1000
0 995 140 1000
260 993 434 1000
140 990 260 1000
0 975 140 995
140 959 260 990
818 967 1000 996
140 914 260 959
140 852 260 914
140 784 260 852
140 709 260 784
140 631 260 709
140 551 260 631
140 471 260 551
140 389 260 471
140 305 260 389
140 172 260 305
140 0 260 172
650 870 818 1000
0 809 140 975
0 629 140 809
0 435 140 629
0 224 140 435
0 0 140 224
650 676 818 870
650 462 818 676
650 246 818 462
260 772 434 993
650 0 818 246
260 530 434 772
260 285 434 530
260 0 434 285
818 693 1000 967
818 358 1000 693
434 708 650 1000
818 0 1000 358
434 361 650 708
434 0 650 361
434 995 650 1000
0 991 140 1000
434 985 650 995
260 977 434 1000
0 959 140 991
434 958 650 985
140 944 260 1000
818 959 1000 1000
260 935 434 977
260 891 434 935
650 948 818 1000
650 883 818 948
140 854 260 944
140 754 260 854
140 653 260 754
140 533 260 653
140 406 260 533
140 274 260 406
140 140 260 274
140 0 260 140
0 835 140 959
0 700 140 835
0 545 140 700
0 367 140 545
0 184 140 367
0 0 140 184
650 728 818 883
650 564 818 728
650 397 818 564
650 205 818 397
650 0 818 205
260 656 434 891
260 385 434 656
818 681 1000 959
434 715 650 958
260 0 434 385
