4600
5300
5600
5300
5400
[6, 0] [0, 0]
517 968 550 1000
377 950 405 1000
377 907 405 950
377 863 405 907
305 960 347 1000
305 0 347 44
457 954 517 1000
869 0 928 47
231 893 260 1000
305 885 347 960
715 896 761 1000
687 805 715 1000
430 576 457 1000
610 829 652 1000
260 851 305 1000
457 807 517 954
584 0 610 1000
869 773 928 1000
430 0 457 576
928 722 1000 1000
0 829 129 1000
687 0 715 805
792 700 869 1000
377 0 405 863
231 0 260 893
347 0 377 1000
761 0 792 1000
517 0 550 968
129 679 231 1000
550 0 584 1000
652 0 687 1000
610 0 652 829
305 44 347 885
260 0 305 851
715 0 761 896
869 47 928 773
457 0 517 807
928 0 1000 722
792 0 869 700
129 0 231 679
0 0 129 829
405 709 430 1000
405 688 430 709
761 948 792 1000
761 903 792 948
305 0 347 44
550 926 584 1000
869 0 928 47
517 849 550 1000
305 871 347 1000
457 892 517 1000
405 408 430 688
869 854 928 1000
377 659 405 1000
405 0 430 408
584 413 610 1000
584 0 610 413
430 409 457 1000
430 0 457 409
687 488 715 1000
687 0 715 488
928 767 1000 1000
792 785 869 1000
377 0 405 659
231 0 260 1000
347 0 377 1000
761 0 792 903
517 0 550 849
550 0 584 926
652 0 687 1000
305 44 347 871
129 630 231 1000
610 0 652 1000
260 0 305 1000
715 0 761 1000
869 47 928 854
0 605 129 1000
457 0 517 892
928 0 1000 767
792 0 869 785
129 0 231 630
0 0 129 605
405 968 430 1000
260 963 305 1000
260 0 305 45
610 925 652 1000
305 936 347 1000
715 920 761 1000
430 618 457 1000
687 836 715 1000
687 623 715 836
792 914 869 1000
377 648 405 1000
231 645 260 1000
761 663 792 1000
550 725 584 1000
347 634 377 1000
405 525 430 968
517 637 550 1000
405 0 430 525
869 739 928 1000
584 0 610 1000
430 0 457 618
687 0 715 623
377 0 405 648
231 0 260 645
347 0 377 634
761 0 792 663
517 0 550 637
550 0 584 725
129 713 231 1000
652 0 687 1000
0 711 129 1000
610 0 652 925
305 0 347 936
260 45 305 963
715 0 761 920
869 0 928 739
457 0 517 1000
928 0 1000 1000
792 0 869 914
129 0 231 713
0 0 129 711
405 875 430 1000
405 855 430 875
405 833 430 855
761 853 792 1000
260 961 305 1000
260 0 305 45
715 913 761 1000
652 877 687 1000
550 864 584 1000
517 853 550 1000
405 584 430 833
405 316 430 584
928 898 1000 1000
792 899 869 1000
405 0 430 316
610 774 652 1000
305 778 347 1000
584 430 610 1000
584 0 610 430
430 456 457 1000
430 0 457 456
869 734 928 1000
0 851 129 1000
687 0 715 1000
377 0 405 1000
231 0 260 1000
347 0 377 1000
761 0 792 853
517 0 550 853
550 0 584 864
652 0 687 877
610 0 652 774
305 0 347 778
260 45 305 961
715 0 761 913
869 0 928 734
457 0 517 1000
928 0 1000 898
792 0 869 899
129 0 231 1000
0 0 129 851
405 329 430 1000
405 0 430 26
550 951 584 1000
457 943 517 1000
869 951 928 1000
715 0 761 55
550 825 584 951
652 845 687 1000
792 924 869 1000
517 794 550 1000
405 26 430 329
792 0 869 100
260 824 305 1000
377 658 405 1000
305 784 347 1000
129 907 231 1000
584 560 610 1000
430 573 457 1000
687 615 715 1000
928 851 1000 1000
610 716 652 1000
584 0 610 560
430 0 457 573
687 0 715 615
377 0 405 658
231 0 260 1000
347 0 377 1000
761 0 792 1000
517 0 550 794
550 0 584 825
652 0 687 845
610 0 652 716
305 0 347 784
260 0 305 824
715 55 761 1000
869 0 928 951
457 0 517 943
928 0 1000 851
792 100 869 924
129 0 231 907
0 0 129 1000
405 0 430 26
550 935 584 1000
715 0 761 55
377 842 405 1000
231 838 260 1000
347 815 377 1000
761 836 792 1000
517 810 550 1000
652 872 687 1000
550 798 584 935
305 845 347 1000
610 817 652 1000
457 837 517 1000
792 0 869 100
792 863 869 1000
405 506 430 1000
405 26 430 506
584 511 610 1000
584 0 610 511
869 738 928 1000
430 0 457 1000
928 720 1000 1000
687 0 715 1000
377 0 405 842
231 0 260 838
347 0 377 815
761 0 792 836
517 0 550 810
550 0 584 798
652 0 687 872
610 0 652 817
305 0 347 845
129 622 231 1000
260 0 305 1000
715 55 761 1000
869 0 928 738
457 0 517 837
928 0 1000 720
792 100 869 863
129 0 231 622
0 0 129 1000
347 881 377 1000
652 965 687 1000
761 914 792 1000
347 783 377 881
260 912 305 1000
715 906 761 1000
761 768 792 914
652 805 687 965
550 798 584 1000
405 574 430 1000
584 556 610 1000
517 744 550 1000
430 566 457 1000
687 591 715 1000
231 682 260 1000
377 620 405 1000
869 836 928 1000
305 717 347 1000
610 677 652 1000
405 0 430 574
584 0 610 556
430 0 457 566
687 0 715 591
377 0 405 620
231 0 260 682
0 836 129 1000
347 0 377 783
761 0 792 768
517 0 550 744
550 0 584 798
652 0 687 805
610 0 652 677
305 0 347 717
260 0 305 912
715 0 761 906
869 0 928 836
457 0 517 1000
928 0 1000 1000
792 0 869 1000
129 0 231 1000
0 0 129 836
