26100
[1, 0] [-100, -100]
681 0 1000 48
0 954 681 1000
681 810 1000 1000
0 860 681 954
681 48 1000 810
0 0 681 860
681 0 1000 48
0 931 681 1000
0 811 681 931
681 541 1000 1000
681 48 1000 541
0 0 681 811
681 982 1000 1000
0 907 681 1000
681 724 1000 982
681 0 1000 724
0 487 681 907
0 0 681 487
0 933 681 1000
681 950 1000 1000
0 908 681 933
681 768 1000 950
681 0 1000 768
0 0 681 908
0 944 681 1000
0 870 681 944
681 541 1000 1000
0 626 681 870
681 0 1000 541
0 0 681 626
0 871 681 1000
0 740 681 871
681 594 1000 1000
681 0 1000 594
0 377 681 740
0 0 681 377
681 670 1000 1000
0 807 681 1000
0 584 681 807
0 336 681 584
681 0 1000 670
0 0 681 336
681 931 1000 1000
0 958 681 1000
0 816 681 958
681 479 1000 931
681 0 1000 479
0 0 681 816
681 837 1000 1000
681 671 1000 837
0 799 681 1000
681 0 1000 671
0 455 681 799
0 0 681 455
0 945 1000 1000
0 873 1000 945
0 787 1000 873
0 691 1000 787
0 442 1000 691
0 0 1000 442
0 861 681 1000
0 717 681 861
0 555 681 717
681 608 1000 1000
681 0 1000 608
0 0 681 555
0 933 1000 1000
0 817 1000 933
0 685 1000 817
0 473 1000 685
0 260 1000 473
0 0 1000 260
681 940 1000 1000
681 916 1000 940
681 752 1000 916
681 0 1000 752
0 533 681 1000
0 0 681 533
681 885 1000 1000
0 880 681 1000
681 595 1000 885
681 0 1000 595
0 449 681 880
0 0 681 449
