2400
2900
[0, 3] [-100, -100]
705 984 1000 1000
705 983 1000 984
346 976 705 1000
705 946 1000 983
0 853 144 1000
144 873 346 1000
0 628 144 853
0 356 144 628
0 0 144 356
346 828 705 976
144 602 346 873
144 331 346 602
144 0 346 331
705 602 1000 946
346 507 705 828
705 0 1000 602
346 0 705 507
346 973 705 1000
705 941 1000 1000
0 885 144 1000
0 728 144 885
0 562 144 728
0 379 144 562
0 196 144 379
0 0 144 196
705 783 1000 941
144 743 346 1000
144 385 346 743
144 0 346 385
346 741 705 973
705 418 1000 783
705 0 1000 418
346 388 705 741
346 0 705 388
0 994 1000 1000
0 978 1000 994
0 949 1000 978
0 916 1000 949
0 883 1000 916
0 840 1000 883
0 796 1000 840
0 751 1000 796
0 704 1000 751
0 652 1000 704
0 596 1000 652
0 533 1000 596
0 469 1000 533
0 378 1000 469
0 275 1000 378
0 170 1000 275
0 0 1000 170
0 978 144 1000
705 976 1000 1000
346 969 705 1000
346 948 705 969
346 918 705 948
0 897 144 978
346 858 705 918
144 809 346 1000
0 613 144 897
0 309 144 613
0 0 144 309
144 461 346 809
144 0 346 461
705 657 1000 976
346 540 705 858
705 0 1000 657
346 0 705 540
0 999 1000 1000
0 993 1000 999
0 976 1000 993
0 958 1000 976
0 932 1000 958
0 899 1000 932
0 858 1000 899
0 807 1000 858
0 754 1000 807
0 698 1000 754
0 641 1000 698
0 573 1000 641
0 490 1000 573
0 402 1000 490
0 306 1000 402
0 203 1000 306
0 0 1000 203
705 962 1000 1000
0 925 144 1000
346 947 705 1000
0 805 144 925
0 643 144 805
0 447 144 643
0 229 144 447
0 0 144 229
144 797 346 1000
144 598 346 797
144 304 346 598
144 0 346 304
705 733 1000 962
705 438 1000 733
346 651 705 947
705 0 1000 438
346 0 705 651
0 997 144 1000
0 996 144 997
705 989 1000 1000
144 940 346 1000
0 889 144 996
0 723 144 889
0 365 144 723
0 0 144 365
144 668 346 940
144 387 346 668
346 784 705 1000
144 0 346 387
705 707 1000 989
705 365 1000 707
705 0 1000 365
346 459 705 784
346 0 705 459
0 950 144 1000
144 922 346 1000
346 947 705 1000
0 813 144 950
0 654 144 813
0 0 144 200
0 428 144 654
0 200 144 428
144 650 346 922
144 360 346 650
144 0 346 360
346 744 705 947
705 0 1000 265
705 647 1000 1000
705 265 1000 647
346 375 705 744
346 0 705 375
346 990 705 1000
0 961 144 1000
346 963 705 990
346 926 705 963
705 953 1000 1000
0 784 144 961
0 0 144 200
0 530 144 784
0 200 144 530
144 735 346 1000
144 383 346 735
144 0 346 383
705 0 1000 265
705 638 1000 953
705 265 1000 638
346 584 705 926
346 0 705 584
705 988 1000 1000
144 979 346 1000
346 955 705 1000
144 916 346 979
0 900 144 1000
346 907 705 955
144 739 346 916
0 463 144 900
0 0 144 463
144 384 346 739
144 0 346 384
346 679 705 907
705 710 1000 988
705 396 1000 710
705 0 1000 396
346 346 705 679
346 0 705 346
0 984 144 1000
705 981 1000 1000
705 954 1000 981
0 918 144 984
0 841 144 918
0 759 144 841
346 881 705 1000
144 783 346 1000
0 437 144 759
0 0 144 437
144 395 346 783
144 0 346 395
705 680 1000 954
346 614 705 881
705 346 1000 680
705 0 1000 346
346 0 705 614
144 985 346 1000
0 958 144 1000
346 968 705 1000
0 859 144 958
346 905 705 968
705 912 1000 1000
0 586 144 859
0 305 144 586
0 0 144 305
144 722 346 985
144 400 346 722
144 0 346 400
705 627 1000 912
705 342 1000 627
705 0 1000 342
346 503 705 905
346 0 705 503
0 940 144 1000
144 939 346 1000
0 805 144 940
0 576 144 805
0 307 144 576
0 0 144 307
705 837 1000 1000
346 819 705 1000
144 646 346 939
144 338 346 646
144 0 346 338
346 615 705 819
346 410 705 615
705 564 1000 837
705 283 1000 564
705 0 1000 283
346 0 705 410
0 994 1000 1000
0 992 1000 994
0 989 1000 992
0 976 1000 989
0 958 1000 976
0 927 1000 958
0 885 1000 927
0 839 1000 885
0 792 1000 839
0 745 1000 792
0 688 1000 745
0 629 1000 688
0 564 1000 629
0 475 1000 564
0 328 1000 475
0 176 1000 328
0 0 1000 176
0 996 144 1000
346 971 705 1000
346 949 705 971
346 916 705 949
0 818 144 996
0 586 144 818
0 331 144 586
144 780 346 1000
0 0 144 331
346 771 705 916
144 478 346 780
705 773 1000 1000
144 0 346 478
705 397 1000 773
705 0 1000 397
346 390 705 771
346 0 705 390
0 995 1000 1000
0 987 1000 995
0 962 1000 987
0 934 1000 962
0 905 1000 934
0 873 1000 905
0 832 1000 873
0 786 1000 832
0 734 1000 786
0 679 1000 734
0 609 1000 679
0 535 1000 609
0 449 1000 535
0 358 1000 449
0 266 1000 358
0 139 1000 266
0 0 1000 139
0 994 1000 1000
0 985 1000 994
0 976 1000 985
0 961 1000 976
0 935 1000 961
0 905 1000 935
0 873 1000 905
0 825 1000 873
0 774 1000 825
0 717 1000 774
0 659 1000 717
0 597 1000 659
0 534 1000 597
0 427 1000 534
0 318 1000 427
0 169 1000 318
0 0 1000 169
0 921 144 1000
346 963 705 1000
346 929 705 963
144 937 346 1000
346 866 705 929
705 899 1000 1000
0 710 144 921
0 498 144 710
0 273 144 498
0 0 144 273
705 742 1000 899
144 676 346 937
144 388 346 676
144 0 346 388
705 451 1000 742
705 0 1000 451
346 0 705 866
705 995 1000 1000
346 972 705 1000
705 969 1000 995
144 917 346 1000
705 909 1000 969
0 804 144 1000
0 568 144 804
0 299 144 568
0 0 144 299
144 657 346 917
144 330 346 657
144 0 346 330
705 678 1000 909
705 339 1000 678
705 0 1000 339
346 632 705 972
346 0 705 632
705 995 1000 1000
346 988 705 1000
0 966 144 1000
144 961 346 1000
705 941 1000 995
705 871 1000 941
0 804 144 966
0 622 144 804
0 417 144 622
0 209 144 417
0 0 144 209
144 709 346 961
705 610 1000 871
144 0 346 709
346 574 705 988
705 0 1000 610
346 0 705 574
346 960 705 1000
0 910 144 1000
144 872 346 1000
346 877 705 960
346 791 705 877
0 629 144 910
0 331 144 629
0 0 144 331
144 610 346 872
144 341 346 610
705 784 1000 1000
144 0 346 341
705 533 1000 784
705 268 1000 533
705 0 1000 268
346 427 705 791
346 0 705 427
0 977 144 1000
346 975 705 1000
705 981 1000 1000
346 952 705 975
346 918 705 952
0 892 144 977
346 870 705 918
705 922 1000 981
0 753 144 892
346 766 705 870
705 792 1000 922
144 779 346 1000
144 543 346 779
0 0 144 753
144 0 346 543
705 0 1000 792
346 0 705 766
0 996 144 1000
346 988 705 1000
346 977 705 988
346 962 705 977
346 944 705 962
144 955 346 1000
705 948 1000 1000
0 893 144 996
705 864 1000 948
144 819 346 955
0 636 144 893
0 326 144 636
0 0 144 326
705 626 1000 864
144 0 346 819
705 0 1000 626
346 0 705 944
144 995 346 1000
0 0 144 9
0 882 144 1000
144 860 346 995
705 891 1000 1000
0 667 144 882
0 361 144 667
0 9 144 361
144 585 346 860
144 305 346 585
144 0 346 305
346 784 705 1000
705 611 1000 891
705 327 1000 611
705 0 1000 327
346 451 705 784
346 0 705 451
0 0 144 9
705 968 1000 1000
346 972 705 1000
144 948 346 1000
0 896 144 1000
705 861 1000 968
0 676 144 896
0 447 144 676
144 693 346 948
0 9 144 447
144 359 346 693
144 0 346 359
705 594 1000 861
705 319 1000 594
705 0 1000 319
346 528 705 972
346 0 705 528
346 989 705 1000
144 955 346 1000
346 963 705 989
346 920 705 963
144 870 346 955
144 782 346 870
0 697 144 1000
0 375 144 697
0 0 144 375
346 752 705 920
144 442 346 782
705 713 1000 1000
144 0 346 442
705 362 1000 713
705 0 1000 362
346 416 705 752
346 0 705 416
705 971 1000 1000
0 912 144 1000
346 943 705 1000
0 752 144 912
0 592 144 752
0 413 144 592
0 223 144 413
0 0 144 223
144 825 346 1000
144 574 346 825
144 315 346 574
144 0 346 315
705 743 1000 971
705 477 1000 743
705 0 1000 477
346 509 705 943
346 0 705 509
0 988 1000 1000
0 976 1000 988
0 962 1000 976
0 946 1000 962
0 929 1000 946
0 905 1000 929
0 879 1000 905
0 848 1000 879
0 817 1000 848
0 784 1000 817
0 740 1000 784
0 690 1000 740
0 637 1000 690
0 562 1000 637
0 460 1000 562
0 243 1000 460
0 0 1000 243
144 968 346 1000
346 972 705 1000
144 929 346 968
0 901 144 1000
0 789 144 901
0 667 144 789
0 461 144 667
0 242 144 461
0 0 144 242
144 755 346 929
144 535 346 755
144 290 346 535
144 0 346 290
705 628 1000 1000
346 621 705 972
705 0 1000 628
346 0 705 621
705 985 1000 1000
346 976 705 1000
0 944 144 1000
705 949 1000 985
705 913 1000 949
705 876 1000 913
0 850 144 944
0 738 144 850
0 618 144 738
0 350 144 618
0 0 144 350
144 682 346 1000
346 707 705 976
705 542 1000 876
144 0 346 682
705 0 1000 542
346 0 705 707
705 974 1000 1000
346 969 705 1000
0 936 144 1000
144 914 346 1000
0 797 144 936
0 646 144 797
0 460 144 646
0 263 144 460
0 0 144 263
144 703 346 914
144 405 346 703
144 0 346 405
705 687 1000 974
705 387 1000 687
705 0 1000 387
346 538 705 969
346 0 705 538
705 985 1000 1000
705 972 1000 985
705 955 1000 972
0 957 144 1000
0 915 144 957
0 872 144 915
346 942 705 1000
346 882 705 942
0 704 144 872
144 825 346 1000
0 421 144 704
0 0 144 421
144 426 346 825
144 0 346 426
705 534 1000 955
705 0 1000 534
346 0 705 882
0 988 144 1000
346 965 705 1000
0 877 144 988
0 763 144 877
0 637 144 763
0 490 144 637
0 284 144 490
0 0 144 284
705 817 1000 1000
144 736 346 1000
144 459 346 736
346 761 705 965
144 0 346 459
705 435 1000 817
705 0 1000 435
346 388 705 761
346 0 705 388
