1400
1400
1700
[28, 18] [0, 0]
394 845 433 1000
394 0 433 32
333 0 394 62
722 966 1000 1000
558 0 651 115
495 824 558 1000
333 769 394 1000
433 770 495 1000
651 732 722 1000
558 723 651 1000
200 0 333 136
0 873 200 1000
394 32 433 845
333 62 394 769
433 0 495 770
495 0 558 824
651 0 722 732
558 115 651 723
0 558 200 873
722 614 1000 966
200 136 333 1000
0 0 200 558
722 0 1000 614
394 0 433 32
394 496 433 1000
333 0 394 62
433 752 495 1000
495 811 558 1000
200 930 333 1000
558 0 651 115
651 803 722 1000
200 0 333 136
394 32 433 496
333 613 394 1000
722 903 1000 1000
200 767 333 930
333 62 394 613
433 0 495 752
495 0 558 811
651 0 722 803
0 672 200 1000
558 115 651 1000
200 136 333 767
722 545 1000 903
0 0 200 672
722 0 1000 545
394 0 433 1000
333 0 394 47
433 906 495 1000
433 802 495 906
495 830 558 1000
333 756 394 1000
333 535 394 756
333 306 394 535
333 47 394 306
433 502 495 802
495 518 558 830
433 0 495 502
495 0 558 518
651 507 722 1000
651 0 722 507
558 515 651 1000
0 784 200 1000
558 0 651 515
200 565 333 1000
200 0 333 565
722 626 1000 1000
0 0 200 784
722 0 1000 626
394 938 433 1000
394 899 433 938
394 857 433 899
333 0 394 47
495 737 558 1000
394 431 433 857
394 0 433 431
651 668 722 1000
722 914 1000 1000
333 500 394 1000
333 47 394 500
433 500 495 1000
433 0 495 500
558 579 651 1000
495 0 558 737
651 0 722 668
558 0 651 579
200 498 333 1000
0 678 200 1000
200 0 333 498
722 543 1000 914
0 0 200 678
722 0 1000 543
558 0 651 74
651 805 722 1000
200 887 333 1000
200 0 333 107
333 563 394 1000
433 607 495 1000
495 601 558 1000
558 691 651 1000
0 544 200 677
0 0 200 146
0 390 200 544
394 0 433 1000
333 0 394 563
433 0 495 607
495 0 558 601
200 573 333 887
0 146 200 390
651 0 722 805
558 74 651 691
200 107 333 573
0 677 200 1000
722 657 1000 1000
722 0 1000 657
394 752 433 1000
394 717 433 752
495 751 558 1000
558 919 651 1000
558 0 651 74
558 834 651 919
200 0 333 107
0 544 200 677
394 0 433 717
0 0 200 146
333 504 394 1000
0 390 200 544
333 0 394 504
200 707 333 1000
433 0 495 1000
495 0 558 751
0 146 200 390
0 677 200 1000
651 0 722 1000
558 74 651 834
200 107 333 707
722 649 1000 1000
722 0 1000 649
394 806 433 1000
394 763 433 806
333 884 394 1000
495 905 558 1000
651 0 722 77
433 845 495 1000
433 684 495 845
495 717 558 905
200 861 333 1000
333 553 394 884
558 757 651 1000
394 0 433 763
0 0 200 167
333 0 394 553
433 0 495 684
495 0 558 717
0 764 200 1000
651 77 722 1000
558 0 651 757
722 665 1000 1000
200 0 333 861
0 167 200 764
722 0 1000 665
333 905 394 1000
651 0 722 77
433 891 495 1000
394 0 433 1000
333 773 394 905
333 631 394 773
333 443 394 631
333 235 394 443
200 902 333 1000
333 0 394 235
651 752 722 1000
433 489 495 891
495 546 558 1000
433 0 495 489
0 0 200 167
495 0 558 546
0 790 200 1000
651 77 722 752
558 0 651 1000
200 0 333 902
0 167 200 790
722 511 1000 1000
722 0 1000 511
394 880 433 1000
394 840 433 880
394 750 433 840
433 856 495 1000
495 886 558 1000
0 950 200 1000
433 648 495 856
495 672 558 886
558 760 651 1000
333 618 394 1000
200 781 333 1000
394 0 433 750
722 877 1000 1000
333 0 394 618
433 0 495 648
495 0 558 672
651 0 722 1000
558 0 651 760
0 553 200 950
200 0 333 781
0 0 200 553
722 456 1000 877
722 0 1000 456
333 700 394 1000
333 605 394 700
495 887 558 1000
433 820 495 1000
651 866 722 1000
433 662 495 820
495 709 558 887
651 676 722 866
200 830 333 1000
394 0 433 1000
333 0 394 605
722 854 1000 1000
433 0 495 662
558 530 651 1000
495 0 558 709
651 0 722 676
558 0 651 530
200 416 333 830
200 0 333 416
0 621 200 1000
0 324 200 621
0 0 200 324
722 0 1000 854
394 0 433 4
333 874 394 1000
495 920 558 1000
433 818 495 1000
495 829 558 920
394 4 433 1000
333 656 394 874
651 743 722 1000
333 338 394 656
333 0 394 338
200 0 333 159
433 438 495 818
433 0 495 438
558 678 651 1000
200 752 333 1000
722 833 1000 1000
495 0 558 829
651 0 722 743
558 0 651 678
200 159 333 752
0 570 200 1000
0 0 200 570
722 0 1000 833
394 0 433 4
333 563 394 1000
558 903 651 1000
495 838 558 1000
495 643 558 838
0 891 200 1000
558 755 651 903
200 0 333 159
433 576 495 1000
651 602 722 1000
394 4 433 1000
333 0 394 563
433 0 495 576
200 723 333 1000
495 0 558 643
651 0 722 602
722 764 1000 1000
558 0 651 755
200 159 333 723
0 501 200 891
0 0 200 501
722 383 1000 764
722 0 1000 383
394 690 433 1000
651 0 722 71
394 536 433 690
394 316 433 536
394 0 433 316
651 728 722 1000
433 626 495 1000
495 628 558 1000
333 596 394 1000
0 857 200 1000
0 0 200 157
333 0 394 596
433 0 495 626
495 0 558 628
558 503 651 1000
651 71 722 728
558 0 651 503
200 504 333 1000
200 0 333 504
0 511 200 857
0 157 200 511
722 643 1000 1000
722 0 1000 643
394 781 433 1000
333 918 394 1000
651 0 722 71
200 951 333 1000
333 794 394 918
495 853 558 1000
433 842 495 1000
651 833 722 1000
394 454 433 781
394 0 433 454
200 741 333 951
0 0 200 157
558 608 651 1000
333 0 394 794
433 0 495 842
495 0 558 853
651 71 722 833
558 0 651 608
0 660 200 1000
722 736 1000 1000
200 0 333 741
0 157 200 660
722 0 1000 736
651 841 722 1000
558 126 651 202
558 894 651 1000
558 0 651 126
200 151 333 244
333 581 394 1000
433 664 495 1000
200 0 333 151
200 244 333 417
200 417 333 601
394 0 433 1000
333 0 394 581
433 0 495 664
200 601 333 1000
0 730 200 1000
495 0 558 1000
651 0 722 841
558 202 651 894
0 402 200 730
722 744 1000 1000
0 0 200 402
722 454 1000 744
722 0 1000 454
651 814 722 1000
558 126 651 202
558 0 651 126
200 151 333 244
200 880 333 1000
394 433 433 1000
394 0 433 433
200 0 333 151
333 439 394 1000
200 244 333 417
200 417 333 601
333 0 394 439
433 471 495 1000
433 0 495 471
200 601 333 880
722 841 1000 1000
495 0 558 1000
651 0 722 814
0 657 200 1000
558 202 651 1000
722 540 1000 841
0 0 200 657
722 0 1000 540
394 916 433 1000
333 0 394 47
433 889 495 1000
495 879 558 1000
394 677 433 916
651 807 722 1000
0 913 200 1000
200 867 333 1000
394 0 433 677
333 508 394 1000
333 47 394 508
558 664 651 1000
200 598 333 867
722 832 1000 1000
433 0 495 889
495 0 558 879
651 0 722 807
558 0 651 664
200 0 333 598
0 500 200 913
0 0 200 500
722 472 1000 832
722 0 1000 472
394 558 433 1000
333 0 394 47
651 904 722 1000
394 285 433 558
394 0 433 285
722 944 1000 1000
200 866 333 1000
333 604 394 1000
433 582 495 1000
495 610 558 1000
651 545 722 904
333 47 394 604
433 0 495 582
495 0 558 610
651 0 722 545
558 554 651 1000
558 0 651 554
200 451 333 866
200 0 333 451
0 678 200 1000
0 340 200 678
0 0 200 340
722 0 1000 944
394 794 433 1000
433 916 495 1000
433 832 495 916
495 893 558 1000
558 928 651 1000
433 681 495 832
495 689 558 893
651 740 722 1000
333 511 394 1000
0 0 200 154
394 0 433 794
333 0 394 511
558 567 651 928
433 0 495 681
495 0 558 689
651 0 722 740
