1600
1700
1900
2000
[3, 3] [-100, -100]
0 984 89 1000
766 983 1000 1000
89 979 216 1000
766 970 1000 983
0 949 89 984
216 957 300 1000
300 969 473 1000
216 894 300 957
216 818 300 894
216 731 300 818
216 643 300 731
216 548 300 643
216 449 300 548
216 346 300 449
216 236 300 346
216 125 300 236
216 0 300 125
0 827 89 949
0 701 89 827
0 566 89 701
0 431 89 566
0 292 89 431
0 149 89 292
0 0 89 149
636 882 766 1000
89 864 216 979
89 736 216 864
89 593 216 736
89 446 216 593
89 298 216 446
89 150 216 298
89 0 216 150
636 735 766 882
636 562 766 735
636 388 766 562
636 196 766 388
636 0 766 196
300 804 473 969
473 783 636 1000
473 564 636 783
473 345 636 564
473 0 636 345
766 709 1000 970
300 409 473 804
300 0 473 409
766 377 1000 709
766 0 1000 377
216 994 300 1000
300 987 473 1000
300 983 473 987
216 979 300 994
636 981 766 1000
766 983 1000 1000
0 962 89 1000
766 968 1000 983
766 953 1000 968
766 937 1000 953
766 921 1000 937
766 903 1000 921
89 958 216 1000
766 878 1000 903
636 935 766 981
216 907 300 979
216 827 300 907
216 742 300 827
216 652 300 742
216 556 300 652
216 438 300 556
216 302 300 438
216 155 300 302
216 0 300 155
0 793 89 962
0 623 89 793
0 442 89 623
0 223 89 442
0 0 89 223
473 873 636 1000
89 796 216 958
89 618 216 796
89 424 216 618
89 213 216 424
89 0 216 213
636 722 766 935
636 506 766 722
636 289 766 506
636 0 766 289
473 642 636 873
300 737 473 983
473 324 636 642
473 0 636 324
300 383 473 737
300 0 473 383
766 510 1000 878
766 0 1000 510
89 995 216 1000
0 991 89 1000
300 992 473 1000
473 985 636 1000
636 984 766 1000
473 963 636 985
473 941 636 963
473 913 636 941
216 945 300 1000
473 876 636 913
89 947 216 995
216 872 300 945
216 794 300 872
216 711 300 794
216 625 300 711
216 539 300 625
216 452 300 539
216 360 300 452
216 247 300 360
216 125 300 247
216 0 300 125
0 866 89 991
0 737 89 866
0 607 89 737
0 464 89 607
0 316 89 464
0 158 89 316
0 0 89 158
89 831 216 947
89 699 216 831
89 566 216 699
89 402 216 566
89 231 216 402
636 809 766 984
300 841 473 992
89 0 216 231
636 563 766 809
636 299 766 563
766 837 1000 1000
636 0 766 299
473 634 636 876
473 340 636 634
473 0 636 340
300 443 473 841
300 0 473 443
766 507 1000 837
766 0 1000 507
0 997 89 1000
89 997 216 1000
766 995 1000 1000
473 988 636 1000
766 985 1000 995
766 972 1000 985
766 959 1000 972
89 957 216 997
766 935 1000 959
216 929 300 1000
473 950 636 988
636 951 766 1000
216 854 300 929
216 767 300 854
216 678 300 767
216 579 300 678
216 478 300 579
216 365 300 478
216 248 300 365
216 129 300 248
216 0 300 129
0 863 89 997
0 703 89 863
0 538 89 703
0 363 89 538
0 183 89 363
0 0 89 183
89 806 216 957
89 652 216 806
89 492 216 652
89 331 216 492
89 167 216 331
89 0 216 167
636 777 766 951
636 599 766 777
636 408 766 599
636 212 766 408
636 0 766 212
473 758 636 950
473 555 636 758
473 299 636 555
300 722 473 1000
473 0 636 299
300 407 473 722
300 0 473 407
766 486 1000 935
766 0 1000 486
216 996 300 1000
89 995 216 1000
0 991 89 1000
216 985 300 996
473 992 636 1000
300 991 473 1000
473 982 636 992
473 972 636 982
473 960 636 972
216 957 300 985
216 917 300 957
216 876 300 917
216 835 300 876
216 786 300 835
216 731 300 786
216 654 300 731
216 559 300 654
216 460 300 559
0 876 89 991
216 313 300 460
216 159 300 313
216 0 300 159
0 724 89 876
89 877 216 995
0 545 89 724
0 365 89 545
0 184 89 365
0 0 89 184
89 742 216 877
89 603 216 742
89 464 216 603
89 322 216 464
89 174 216 322
89 0 216 174
636 788 766 1000
636 573 766 788
636 307 766 573
636 0 766 307
300 735 473 991
473 673 636 960
473 386 636 673
766 748 1000 1000
473 0 636 386
300 370 473 735
300 0 473 370
766 397 1000 748
766 0 1000 397
636 982 766 1000
216 976 300 1000
89 977 216 1000
766 975 1000 1000
766 957 1000 975
300 972 473 1000
766 935 1000 957
766 912 1000 935
300 940 473 972
300 905 473 940
216 893 300 976
216 794 300 893
0 895 89 1000
216 672 300 794
216 542 300 672
216 410 300 542
216 277 300 410
216 141 300 277
216 0 300 141
0 762 89 895
0 620 89 762
0 469 89 620
0 316 89 469
0 163 89 316
0 0 89 163
473 902 636 1000
89 850 216 977
636 853 766 982
89 697 216 850
89 537 216 697
89 374 216 537
89 194 216 374
89 0 216 194
636 653 766 853
636 446 766 653
636 230 766 446
636 0 766 230
473 707 636 902
473 482 636 707
473 255 636 482
473 0 636 255
300 604 473 905
300 302 473 604
300 0 473 302
766 637 1000 912
766 357 1000 637
766 0 1000 357
473 986 636 1000
300 978 473 1000
766 978 1000 1000
766 954 1000 978
636 942 766 1000
216 926 300 1000
89 941 216 1000
216 837 300 926
216 741 300 837
0 905 89 1000
216 639 300 741
216 526 300 639
216 404 300 526
216 280 300 404
216 141 300 280
216 0 300 141
0 762 89 905
0 614 89 762
0 464 89 614
0 313 89 464
0 157 89 313
0 0 89 157
89 829 216 941
89 702 216 829
89 572 216 702
89 441 216 572
89 308 216 441
89 168 216 308
89 0 216 168
636 776 766 942
636 587 766 776
636 395 766 587
636 198 766 395
636 0 766 198
473 826 636 986
473 646 636 826
473 453 636 646
473 255 636 453
300 764 473 978
473 0 636 255
300 514 473 764
300 263 473 514
300 0 473 263
766 757 1000 954
766 540 1000 757
766 290 1000 540
766 0 1000 290
216 988 300 1000
216 984 300 988
636 986 766 1000
766 981 1000 1000
300 983 473 1000
0 964 89 1000
216 912 300 984
766 945 1000 981
766 907 1000 945
300 929 473 983
300 873 473 929
473 937 636 1000
216 794 300 912
216 673 300 794
216 545 300 673
216 412 300 545
216 278 300 412
216 141 300 278
216 0 300 141
0 823 89 964
89 900 216 1000
0 673 89 823
0 509 89 673
0 343 89 509
0 173 89 343
0 0 89 173
89 773 216 900
89 641 216 773
89 495 216 641
89 345 216 495
89 189 216 345
636 821 766 986
89 0 216 189
636 635 766 821
636 444 766 635
636 231 766 444
636 0 766 231
473 727 636 937
473 496 636 727
473 264 636 496
473 0 636 264
